ID,Severity,Category,Tab,Location,Finding,Business impact if unaddressed,Recommendation,Effort (days),Risk of change,Depends on,Status
F-01,HIGH,Performance,Agent Summary / Team Rollup / Monthly / Rankings,~112000 cells,All historical periods are live formulas recalculated on every workbook edit,"~40s of the 45s recalculation is spent recomputing settled history; users avoid touching the workbook","Split OPEN vs CLOSED periods; write closed periods once as values with an explicit logged reopen path",2,Low,F-04,Proposed
F-02,HIGH,Fragility,12 tabs,"1847 cells, e.g. Agent Summary!D2",VLOOKUP by column index against full-column ranges A:Z,"Returns a different field with no error if a column is inserted upstream; already occurred once and took 2 days to trace",Replace with XLOOKUP / INDEX+MATCH resolving the column by header name over bounded ranges,1.5,Low,,Proposed
F-03,HIGH,Data quality,All calculation tabs,2204 formulas,"Blanket IFERROR(...,"""") suppresses every error to blank","No way to distinguish a broken lookup from a legitimate zero; wrong figures publish silently","Typed markers (#NO_AGENT / #NO_RATE) plus automated checks that block the weekly close",2,Low,,Proposed
F-04,HIGH,Maintenance,14 locations,"3 QUERY strings, 4 COUNTIFS, 2 validation lists, Rankings, 4 script constants",Agent and team roster hardcoded across the system,Onboarding one agent needs 14 coordinated edits; missing one silently excludes their revenue from rollups,"Config/Agents/Teams tabs as single source of truth; effective-date agent records",1.5,Low,,Proposed
F-05,MEDIUM,Architecture,Master / Consolidation,47 IMPORTRANGE calls,Three-level IMPORTRANGE chain across 4 source workbooks,Compounded refresh latency; an upstream failure arrives downstream as a blank cell indistinguishable from no sales,One landing tab per source; downstream tabs read internally; add a staleness check,1,Medium,,Proposed
F-06,MEDIUM,Correctness,Rankings / Team Rankings,B2:B500,Company tab uses RANK (competition) and team tab uses COUNTIFS (dense),Tied agents receive different ranks depending on which tab is opened; already surfaced in a commission dispute,One documented tie rule applied everywhere; compute in script,0.5,Low,F-04,Proposed
F-07,MEDIUM,Performance,6 tabs,Header cells,NOW() in header cells forces a full recalculation cascade on every edit,Every keystroke anywhere in the workbook triggers a full recalc,Script-written static timestamp on the Config tab; reference it,0.5,Low,,Proposed
F-08,MEDIUM,Performance,Agent Summary,rows 4900-9000,4100 rows of formulas below the last row of source data,Pure recalculation waste on every edit,Trim the trailing rows or convert the columns to self-extending ARRAYFORMULA,0.25,Low,,Proposed
F-09,MEDIUM,Fragility,Rankings,$G$2:$G$500,Ranking ranges hardcoded to row 500,Agents beyond row 500 are unranked with no error shown,Script-side ranking with no row limit,0.25,Low,F-06,Proposed
F-10,MEDIUM,Maintainability,Team Rollup,F14,612-character formula with 11 nested IFs,Nobody can review it correctly so errors survive indefinitely,Decompose into named helper columns or move to script,0.5,Medium,,Proposed
F-11,MEDIUM,Maintainability,Commission,D2:D400,Commission tiers encoded as an 8-level nested IF,A business rule Finance owns is hidden in a formula only one person can read,Move tiers to a CommissionTiers lookup table sorted descending by threshold,0.5,Low,,Proposed
F-12,MEDIUM,Automation,(workbook),Script project,"5 triggers: 2 duplicates, 1 pointing at a function renamed in 2024",One job runs twice; another has failed nightly for 8 months unnoticed,Declarative trigger installation from a single SCHEDULE list; add failure alerting,0.25,Low,,Proposed
F-13,MEDIUM,Continuity,(workbook),Script project,All triggers owned by one individual user account,Every scheduled job stops silently if that account is suspended or the person leaves,Recreate triggers under a shared service account; document the ownership,0.25,Low,F-12,Proposed
F-14,MEDIUM,Waste,9 tabs,-,Nine tabs with no inbound references and no edits in 14 months,Recalculation cost and cognitive load for no benefit,Confirm with the owner then archive and delete,0.25,Low,,Proposed
F-15,MEDIUM,Data quality,Raw_Sales,D2:D,CloseDate stored as text on 340 rows,Text dates silently drop out of every period filter and understate the period,Coerce on import; add a typed-date health check,0.5,Low,F-03,Proposed
F-16,MEDIUM,Performance,Team Rollup,B2:H400,SUMIFS grid of ~1200 formulas each scanning the full deal log,"O(agents x metrics x rows) - roughly 72M cell reads per recalculation",Single QUERY aggregation or script-side rollup into the mart,1,Medium,F-01,Proposed
F-17,MEDIUM,Scale,(workbook),-,6.4M of the 10M allocated-cell limit consumed,Workbook will hit a hard platform limit within ~18 months at current growth,Archive closed periods to the history workbook; delete unused rows and columns,0.5,Low,F-01,Proposed
F-18,MEDIUM,Fragility,Monthly,C4:C40,INDIRECT used to build tab references from a text cell,Breaks at runtime on any tab rename and defeats dependency tracking,Direct references or a single QUERY over the mart,0.5,Medium,F-01,Proposed
F-19,MEDIUM,Data quality,Raw_Sales,A2:A,No enforced uniqueness on DealId,Duplicate deals double-count revenue with no visible symptom,Duplicate-key health check as a BLOCKER; add conditional formatting on the input tab,0.25,Low,F-03,Proposed
F-20,MEDIUM,Continuity,Agents,-,Departed agents are deleted rather than end-dated,Deleting an agent retroactively changes prior closed-period team totals,Add StartDate/EndDate/Active columns; filter by effective date,0.5,Low,F-04,Proposed
F-21,LOW,Maintainability,(workbook),-,No named ranges in a workbook with 184k formulas,Restructuring is riskier and slower than it needs to be,Name the handful of ranges referenced across tabs,0.25,Low,,Proposed
F-22,LOW,Waste,Archive 2023,-,1.1M allocated but unused cells,Counts against the workbook cell limit,Delete unused rows and columns,0.1,Low,,Proposed
F-23,LOW,Usability,Dashboard,-,No indication of when data was last refreshed,Users cannot tell whether they are looking at stale figures,Display the script-written LastRefreshed timestamp,0.1,Low,F-07,Proposed
F-24,LOW,Data quality,Raw_Sales,F2:F,Amount column mixes currency-formatted text and numbers,Text amounts are skipped by SUMIFS and understate totals,Coerce on import; add a numeric-type health check,0.25,Low,F-03,Proposed
F-25,LOW,Safety,Config / Agents / Targets,-,Input ranges are unprotected,An accidental edit to a config value silently changes every downstream report,Protected ranges with named editors; keep the owner unrestricted,0.25,Low,F-04,Proposed
F-26,LOW,Consistency,7 tabs,-,Revenue formatted five different ways across tabs,Figures look inconsistent to leadership and invite unnecessary questions,Apply one number format from a single formatting pass,0.25,Low,,Proposed
F-27,LOW,Performance,Dashboard,-,14 chart ranges pointing at live calculation tabs rather than the mart,Charts re-render on every upstream recalculation,Repoint charts at the mart,0.25,Low,F-01,Proposed
F-28,LOW,Maintainability,(script),-,No unit tests for ranking or period logic,Any future edit is unverifiable without manual spot-checking,Add Tests.gs covering tie handling and ISO week arithmetic,0.5,Low,F-06,Proposed
F-29,LOW,Observability,(script),-,No logging; failures are only visible in the Apps Script executions view,Failures go unnoticed for weeks,Structured log tab plus email alerting on ERROR,0.25,Low,,Proposed
F-30,LOW,Documentation,(workbook),-,No architecture or operational documentation,Knowledge exists in one person's head; onboarding or absence is a business risk,Architecture doc plus runbook delivered at handover,1,Low,,Proposed
F-31,INFO,Inventory,(workbook),-,Trigger: weeklyRollup (time-based Monday 06:00),Confirm still required and owner is current,Declare in SCHEDULE or remove,0,-,,Open question
F-32,INFO,Inventory,(workbook),-,Trigger: sendDigest (time-based daily 07:00),Duplicate of weeklyRollup's email step,Consolidate,0,-,F-12,Open question
F-33,INFO,Question,Team Rollup,H2,Q3 2024 manual adjustment of -18400 hardcoded in a formula,Unclear whether still applicable,Confirm with Finance; move to an Adjustments tab if still needed,0.25,-,,Open question
F-34,INFO,Question,Monthly,-,"Two metrics named ""Net Revenue"" with different definitions",Ambiguity in leadership reporting,Confirm intended definitions with the owner and rename,0.25,-,,Open question
F-35,INFO,Question,Raw_South,-,Region South feed has not updated since 2026-01-19,Possibly a broken import or an intentionally retired region,Confirm with the owner,0,-,F-05,Open question
